Job ID,Agency,Posting Type,# Of Positions,Business Title,Civil Service Title,Title Code No,Level,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit,Residency Requirement,Posting Date,Post Until,Posting Updated,Process Date
87990,DEPARTMENT OF BUSINESS SERV.,Internal,1,Account Manager,CONTRACT REVIEWER (OFFICE OF L,40563,1,,,42405,65485,Annual,110 William St. N Y,Strategy & Analytics,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2011-06-24T00:00:00.000,,2011-06-24T00:00:00.000,2019-07-30T00:00:00.000
97899,DEPARTMENT OF BUSINESS SERV.,Internal,1,"EXECUTIVE DIRECTOR, BUSINESS DEVELOPMENT",ADMINISTRATIVE BUSINESS PROMOT,10009,M3,,F,60740,162014,Annual,110 William St. N Y,Tech Talent Pipeline,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2012-01-26T00:00:00.000,,2012-01-26T00:00:00.000,2019-07-30T00:00:00.000
132292,NYC HOUSING AUTHORITY,External,52,Maintenance Worker - Technical Services-Heating Unit,MAINTENANCE WORKER,90698,0,Maintenance & Operations,F,51907.68,54580.32,Annual,Heating Mgt-Operations,Management Services Department,NYCHA has no residency requirements.,2013-10-24T00:00:00.000,,2013-12-12T00:00:00.000,2019-07-30T00:00:00.000
132292,NYC HOUSING AUTHORITY,Internal,52,Maintenance Worker - Technical Services-Heating Unit,MAINTENANCE WORKER,90698,0,Maintenance & Operations,F,51907.68,54580.32,Annual,Heating Mgt-Operations,Management Services Department,NYCHA has no residency requirements.,2013-10-24T00:00:00.000,,2013-12-12T00:00:00.000,2019-07-30T00:00:00.000
133921,NYC HOUSING AUTHORITY,Internal,50,Temporary Painter,PAINTER,91830,0,Maintenance & Operations,F,35,35,Hourly,DMP-Contract & Analysis Unit,Dept of Management & Planning,NYCHA has no residency requirement.,2014-01-09T00:00:00.000,,2014-01-08T00:00:00.000,2019-07-30T00:00:00.000
133921,NYC HOUSING AUTHORITY,External,50,Temporary Painter,PAINTER,91830,0,Maintenance & Operations,F,35,35,Hourly,DMP-Contract & Analysis Unit,Dept of Management & Planning,NYCHA has no residency requirement.,2014-01-09T00:00:00.000,,2014-01-08T00:00:00.000,2019-07-30T00:00:00.000
137433,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Contract Analyst,PROCUREMENT ANALYST,12158,3,"Finance, Accounting, & Procurement",F,50598,85053,Annual,42-09 28th Street,HIV Administration,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2013-12-09T00:00:00.000,,2013-12-09T00:00:00.000,2019-07-30T00:00:00.000
138531,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Associate Chemist,ASSOCIATE CHEMIST,21822,2,"Health Public Safety, Inspections, & Enforcement",F,50623,75083,Annual,96-05 Horace Harding Expway,DWOC Labs-Lefrak,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2013-12-20T00:00:00.000,,2014-07-25T00:00:00.000,2019-07-30T00:00:00.000
151131,NYC HOUSING AUTHORITY,External,1,Cost Estimating Manager,ADMINISTRATIVE STAFF ANALYST (,1002D,0,"Engineering, Architecture, & Planning",F,90000,110000,Annual,CP Cap Plan-Technical Planning,Capital Planning Dept,NYCHA has no residency requirements.,2014-06-25T00:00:00.000,,2014-07-07T00:00:00.000,2019-07-30T00:00:00.000
151937,NYC HOUSING AUTHORITY,Internal,4,Assistant Project Manager,ASSOCIATE PROJECT MANAGER,22427,2,"Engineering, Architecture, & Planning",F,62942,92249,Annual,Office for Exec Proj Manager,Project Mgmt Dept Team 3,NYCHA has no residency requirements.,2014-08-16T00:00:00.000,,2014-10-15T00:00:00.000,2019-07-30T00:00:00.000
